group_id,title,kind,status,priority,latest_deadline,latest_schedule,messages,chases,conflicts,contested,confidence,related_message_ids,summary
GROUP_012,Update the project tracker,task,cancelled,low,2026-10-06,,18,5,4,True,0.86,MSG_0031 MSG_0038 MSG_0139 MSG_0300 MSG_0412 MSG_0622 MSG_0656 MSG_0708 MSG_0736 MSG_0884 MSG_0908 MSG_0911 MSG_0928 MSG_0942 MSG_0996 MSG_1011 DEMO_003 DEMO_006,"Raised on 2026-09-02 by Maya; the deadline changed 1 time(s) and now stands at 2026-10-06 (from DEMO_006); 9 original request(s) restated the subject with a different date; chased 5 time(s); cancelled in MSG_0942; the messages contradict each other, so the status is contested."
GROUP_013,Upload the assignment,task,pending,low,2026-10-20,,16,5,1,False,0.9448,MSG_0032 MSG_0269 MSG_0345 MSG_0498 MSG_0554 MSG_0633 MSG_0640 MSG_0670 MSG_0688 MSG_0761 MSG_0909 MSG_0929 MSG_0991 MSG_1006 DEMO_004 DEMO_020,Raised on 2026-09-02 by Kabir; the deadline changed 1 time(s) and now stands at 2026-10-20 (from DEMO_020); 9 original request(s) restated the subject with a different date; chased 5 time(s).
GROUP_014,Complete the onboarding form,task,pending,critical,2026-09-06,,16,6,0,False,0.97,MSG_0035 MSG_0045 MSG_0060 MSG_0331 MSG_0398 MSG_0420 MSG_0546 MSG_0551 MSG_0585 MSG_0624 MSG_0910 MSG_0913 MSG_0916 MSG_0930 MSG_1004 DEMO_021,Raised on 2026-09-02 by Rohan; deadline 2026-09-06 (from MSG_0624); 9 original request(s) restated the subject with a different date; chased 6 time(s).
GROUP_015,Study-group session,event,rescheduled,high,,2026-10-04 15:00,11,0,0,False,0.97,MSG_0036 MSG_0162 MSG_0223 MSG_0311 MSG_0508 MSG_0549 MSG_0623 MSG_0706 MSG_0793 MSG_0873 MSG_0956,Raised on 2026-09-02 by Maya; latest schedule 2026-10-04 at 15:00 (from MSG_0956); currently rescheduled.
GROUP_016,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0037,Raised on 2026-09-02 by Meera.
GROUP_017,Demo was ready,task,pending,low,,,10,0,0,False,0.97,MSG_0039 MSG_0132 MSG_0180 MSG_0277 MSG_0348 MSG_0428 MSG_0439 MSG_0464 MSG_0469 MSG_0728,Raised on 2026-09-02 by Tara.
GROUP_018,Review the file before the meeting,task,pending,low,,,10,0,0,False,0.97,MSG_0041 MSG_0110 MSG_0190 MSG_0198 MSG_0377 MSG_0457 MSG_0524 MSG_0559 MSG_0580 MSG_0816,Raised on 2026-09-02 by Vikram.
GROUP_019,Client discussion,event,rescheduled,low,,2026-10-09 13:00,12,0,0,False,0.97,MSG_0042 MSG_0055 MSG_0258 MSG_0302 MSG_0356 MSG_0456 MSG_0588 MSG_0788 MSG_0868 MSG_0878 MSG_0957 MSG_0961,Raised on 2026-09-02 by Aarav; latest schedule 2026-10-09 at 13:00 (from MSG_0961); currently rescheduled.
GROUP_020,Complete the Python exercise,task,cancelled,low,2026-10-01,,14,1,2,True,0.88,MSG_0044 MSG_0114 MSG_0145 MSG_0245 MSG_0396 MSG_0422 MSG_0577 MSG_0694 MSG_0814 MSG_0898 MSG_0912 MSG_0938 MSG_0944 MSG_0987,"Raised on 2026-09-02 by Ananya; the deadline changed 1 time(s) and now stands at 2026-10-01 (from MSG_0987); 9 original request(s) restated the subject with a different date; chased 1 time(s); 1 restatement(s) of earlier messages; cancelled in MSG_0938; the messages contradict each other, so the status is contested."
GROUP_021,Call the service centre,task,completed,low,2026-10-02,,19,3,5,True,0.86,MSG_0046 MSG_0089 MSG_0115 MSG_0144 MSG_0150 MSG_0163 MSG_0251 MSG_0283 MSG_0503 MSG_0757 MSG_0914 MSG_0932 MSG_0939 MSG_0943 MSG_0946 MSG_0950 MSG_0988 MSG_0993 MSG_1008,"Raised on 2026-09-02 by Tara; the deadline changed 1 time(s) and now stands at 2026-10-02 (from MSG_0988); 9 original request(s) restated the subject with a different date; chased 3 time(s); 3 restatement(s) of earlier messages; reported complete in MSG_0939; the messages contradict each other, so the status is contested."
GROUP_022,Product demo,event,rescheduled,high,,2026-10-01 10:00,12,0,0,False,0.97,MSG_0049 MSG_0077 MSG_0138 MSG_0338 MSG_0342 MSG_0423 MSG_0606 MSG_0619 MSG_0707 MSG_0759 MSG_0959 MSG_0965,Raised on 2026-09-02 by Ananya; latest schedule 2026-10-01 at 10:00 (from MSG_0965); currently rescheduled.
GROUP_023,Doctor appointment,event,rescheduled,medium,,2026-10-08 12:00,11,0,0,False,0.97,MSG_0051 MSG_0127 MSG_0405 MSG_0465 MSG_0511 MSG_0592 MSG_0601 MSG_0637 MSG_0673 MSG_0711 MSG_0960,Raised on 2026-09-02 by Kabir; latest schedule 2026-10-08 at 12:00 (from MSG_0960); 9 restatement(s) of earlier messages; currently rescheduled.
GROUP_024,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0054,Raised on 2026-09-02 by Meera.
GROUP_025,Call Maya when you are free,task,pending,low,,,10,0,0,False,0.97,MSG_0056 MSG_0121 MSG_0193 MSG_0410 MSG_0438 MSG_0495 MSG_0634 MSG_0717 MSG_0811 MSG_0827,Raised on 2026-09-02 by Kabir.
GROUP_026,AI workshop,event,rescheduled,high,,2026-09-30 16:00,12,0,0,False,0.97,MSG_0062 MSG_0067 MSG_0168 MSG_0244 MSG_0330 MSG_0449 MSG_0628 MSG_0745 MSG_0747 MSG_0895 MSG_0962 MSG_0964,Raised on 2026-09-02 by Ishaan; latest schedule 2026-09-30 at 16:00 (from MSG_0964); currently rescheduled.
GROUP_027,Project review,event,rescheduled,high,,2026-09-29 15:00,11,0,0,False,0.97,MSG_0066 MSG_0131 MSG_0151 MSG_0216 MSG_0357 MSG_0382 MSG_0427 MSG_0674 MSG_0693 MSG_0792 MSG_0963,Raised on 2026-09-03 by Aarav; latest schedule 2026-09-29 at 15:00 (from MSG_0963); currently rescheduled.
GROUP_028,Finish the test cases,task,completed,low,2026-09-27,,16,2,6,True,0.86,MSG_0088 MSG_0153 MSG_0210 MSG_0221 MSG_0289 MSG_0468 MSG_0574 MSG_0602 MSG_0618 MSG_0826 MSG_0931 MSG_0947 MSG_0979 MSG_0983 MSG_0995 MSG_1010,"Raised on 2026-09-03 by Ishaan; the deadline changed 2 time(s) and now stands at 2026-09-27 (from MSG_0983); 9 original request(s) restated the subject with a different date; chased 2 time(s); 1 restatement(s) of earlier messages; reported complete in MSG_0931; the messages contradict each other, so the status is contested."
GROUP_029,Placement briefing,event,rescheduled,medium,,2026-10-06 15:00,12,0,0,False,0.97,MSG_0097 MSG_0123 MSG_0154 MSG_0156 MSG_0184 MSG_0201 MSG_0590 MSG_0789 MSG_0821 MSG_0823 MSG_0966 MSG_0970,Raised on 2026-09-03 by Rohan; latest schedule 2026-10-06 at 15:00 (from MSG_0970); currently rescheduled.
GROUP_030,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0098,Raised on 2026-09-03 by Meera.
GROUP_031,Sprint planning,event,rescheduled,high,,2026-10-03 12:00,11,0,0,False,0.97,MSG_0100 MSG_0169 MSG_0177 MSG_0218 MSG_0268 MSG_0424 MSG_0643 MSG_0645 MSG_0664 MSG_0668 MSG_0967,Raised on 2026-09-03 by Kabir; latest schedule 2026-10-03 at 12:00 (from MSG_0967); 9 restatement(s) of earlier messages; currently rescheduled.
GROUP_032,Send the revised presentation,task,cancelled,low,2026-09-29,,16,3,5,True,0.857,MSG_0102 MSG_0112 MSG_0231 MSG_0307 MSG_0317 MSG_0407 MSG_0512 MSG_0662 MSG_0725 MSG_0780 MSG_0934 MSG_0936 MSG_0985 MSG_0999 MSG_1003 MSG_1014,"Raised on 2026-09-03 by Maya; the deadline changed 1 time(s) and now stands at 2026-09-29 (from MSG_0985); 9 original request(s) restated the subject with a different date; chased 3 time(s); 1 restatement(s) of earlier messages; cancelled in MSG_0934; the messages contradict each other, so the status is contested."
GROUP_033,Technical interview,event,rescheduled,high,,2026-10-04 13:00,11,0,0,False,0.97,MSG_0103 MSG_0282 MSG_0316 MSG_0359 MSG_0413 MSG_0445 MSG_0579 MSG_0630 MSG_0831 MSG_0837 MSG_0968,Raised on 2026-09-03 by Neha; latest schedule 2026-10-04 at 13:00 (from MSG_0968); currently rescheduled.
GROUP_034,Prepare the demo video,task,completed,low,2026-09-27,,14,0,2,True,0.88,MSG_0113 MSG_0136 MSG_0147 MSG_0203 MSG_0361 MSG_0513 MSG_0561 MSG_0690 MSG_0850 MSG_0851 MSG_0937 MSG_0941 MSG_0945 MSG_0977,"Raised on 2026-09-04 by Rohan; the deadline changed 1 time(s) and now stands at 2026-09-27 (from MSG_0977); 9 original request(s) restated the subject with a different date; 2 restatement(s) of earlier messages; reported complete in MSG_0937; the messages contradict each other, so the status is contested."
GROUP_035,Send the expense receipt,task,cancelled,low,2026-10-01,,12,0,2,True,0.88,MSG_0119 MSG_0219 MSG_0358 MSG_0473 MSG_0485 MSG_0531 MSG_0722 MSG_0776 MSG_0815 MSG_0870 MSG_0940 MSG_0981,"Raised on 2026-09-04 by Meera; the deadline changed 1 time(s) and now stands at 2026-10-01 (from MSG_0981); 9 original request(s) restated the subject with a different date; cancelled in MSG_0940; the messages contradict each other, so the status is contested."
GROUP_036,Verify the dataset labels,task,cancelled,low,2026-09-28,,12,0,2,True,0.88,MSG_0157 MSG_0226 MSG_0360 MSG_0417 MSG_0455 MSG_0483 MSG_0517 MSG_0607 MSG_0612 MSG_0658 MSG_0948 MSG_0984,"Raised on 2026-09-05 by Neha; the deadline changed 1 time(s) and now stands at 2026-09-28 (from MSG_0984); 9 original request(s) restated the subject with a different date; cancelled in MSG_0948; the messages contradict each other, so the status is contested."
GROUP_037,Submit the weekly report,task,completed,low,2026-09-28,,15,0,5,True,0.7621,MSG_0160 MSG_0208 MSG_0369 MSG_0379 MSG_0530 MSG_0547 MSG_0552 MSG_0639 MSG_0730 MSG_0824 MSG_0949 MSG_0978 MSG_1056 MSG_1061 MSG_1066,"Raised on 2026-09-05 by Aarav; the deadline changed 1 time(s) and now stands at 2026-09-28 (from MSG_0978); 9 original request(s) restated the subject with a different date; reported complete in MSG_0949; the messages contradict each other, so the status is contested."
GROUP_038,Share the meeting notes,task,pending,critical,2026-09-27,,13,2,1,False,0.97,MSG_0170 MSG_0280 MSG_0556 MSG_0566 MSG_0652 MSG_0716 MSG_0720 MSG_0787 MSG_0795 MSG_0819 MSG_0971 MSG_0992 MSG_1007,Raised on 2026-09-05 by Meera; the deadline changed 1 time(s) and now stands at 2026-09-27 (from MSG_0971); 9 original request(s) restated the subject with a different date; chased 2 time(s).
GROUP_039,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0213,Raised on 2026-09-06 by Meera.
GROUP_040,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0217,Raised on 2026-09-06 by Meera.
GROUP_041,Back up the project files,task,pending,critical,2026-09-27,,13,2,1,False,0.97,MSG_0252 MSG_0312 MSG_0334 MSG_0340 MSG_0401 MSG_0615 MSG_0657 MSG_0659 MSG_0864 MSG_0865 MSG_0989 MSG_1001 MSG_1005,Raised on 2026-09-07 by Vikram; the deadline changed 1 time(s) and now stands at 2026-09-27 (from MSG_0989); 9 original request(s) restated the subject with a different date; chased 2 time(s).
GROUP_042,Design review,event,pending,low,,,10,0,0,False,0.97,MSG_0271 MSG_0293 MSG_0363 MSG_0414 MSG_0565 MSG_0616 MSG_0800 MSG_0810 MSG_0849 MSG_0894,Raised on 2026-09-08 by Neha.
GROUP_043,Send it soon,task,pending,low,,,10,0,0,False,0.97,MSG_0310 MSG_0323 MSG_0386 MSG_0393 MSG_0486 MSG_0492 MSG_0505 MSG_0654 MSG_0775 MSG_0859,Raised on 2026-09-09 by Aarav.
GROUP_044,College seminar,event,pending,low,,,10,0,0,False,0.97,MSG_0327 MSG_0384 MSG_0450 MSG_0519 MSG_0600 MSG_0798 MSG_0860 MSG_0877 MSG_0882 MSG_0900,Raised on 2026-09-09 by Vikram.
GROUP_045,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0462,Raised on 2026-09-13 by Meera.
GROUP_046,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0493,Raised on 2026-09-13 by Meera.
GROUP_047,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0635,Raised on 2026-09-17 by Meera.
GROUP_048,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0840,Raised on 2026-09-22 by Meera.
GROUP_049,Review,event,pending,low,,,1,0,0,False,0.9,MSG_0886,Raised on 2026-09-24 by Meera.
GROUP_050,Prepare the offline inference demo,event,pending,high,2026-09-30,,2,0,0,False,0.97,MSG_1016 MSG_1026,Raised on 2026-09-30 by Project Lead; deadline 2026-09-30 (from MSG_1026).
GROUP_051,Compare two embedding models,task,pending,high,2026-10-01,,2,0,0,False,0.97,MSG_1017 MSG_1027,Raised on 2026-09-30 by Mentor; deadline 2026-10-01 (from MSG_1017); 1 restatement(s) of earlier messages.
GROUP_052,Document privacy-routing decisions,task,pending,high,2026-10-02,,2,0,0,False,0.97,MSG_1018 MSG_1028,Raised on 2026-09-30 by HR Team; deadline 2026-10-02 (from MSG_1028).
GROUP_053,Create a latency chart,task,pending,high,2026-10-03,,2,0,0,False,0.97,MSG_1019 MSG_1029,Raised on 2026-09-30 by Project Lead; deadline 2026-10-03 (from MSG_1019); 1 restatement(s) of earlier messages.
GROUP_054,Review the quantization results,event,pending,high,2026-10-04,,2,0,0,False,0.97,MSG_1020 MSG_1030,Raised on 2026-09-30 by Mentor; deadline 2026-10-04 (from MSG_1030).
GROUP_055,Test the assistant without internet,task,pending,high,2026-10-05,,2,0,0,False,0.97,MSG_1021 MSG_1031,Raised on 2026-09-30 by HR Team; deadline 2026-10-05 (from MSG_1021); 1 restatement(s) of earlier messages.
GROUP_056,Update the architecture diagram,task,pending,medium,2026-10-06,,2,0,0,False,0.97,MSG_1022 MSG_1032,Raised on 2026-09-30 by Project Lead; deadline 2026-10-06 (from MSG_1032).
GROUP_057,Measure memory usage,task,pending,medium,2026-10-07,,2,0,0,False,0.97,MSG_1023 MSG_1033,Raised on 2026-09-30 by Mentor; deadline 2026-10-07 (from MSG_1023); 1 restatement(s) of earlier messages.
GROUP_058,Prepare the L2 presentation,event,pending,medium,2026-10-08,,2,0,0,False,0.97,MSG_1024 MSG_1034,Raised on 2026-09-30 by HR Team; deadline 2026-10-08 (from MSG_1034).
GROUP_059,Validate the mandatory queries,task,pending,medium,2026-10-09,,2,0,0,False,0.97,MSG_1025 MSG_1035,Raised on 2026-09-30 by Project Lead; deadline 2026-10-09 (from MSG_1025); 1 restatement(s) of earlier messages.
GROUP_060,Wait for confirmation,task,pending,low,,,3,0,3,False,0.86,MSG_1058 MSG_1063 MSG_1068,Raised on 2026-10-02 by Ananya; mutually exclusive options were offered without a choice: tomorrow or Monday.
GROUP_061,Test the optimized assistant in offline mode,task,pending,medium,2026-10-09,,1,0,0,False,0.96,DEMO_010,Raised on 2026-10-04 by Project Lead; deadline 2026-10-09 (from DEMO_010).
GROUP_062,Latency-review,event,pending,medium,2026-10-08,,1,0,0,False,0.96,DEMO_011,Raised on 2026-10-04 by Mentor; deadline 2026-10-08 (from DEMO_011).
GROUP_063,Was the compliance form approved by the finance director,task,pending,low,,,1,0,0,False,0.93,DEMO_022,Raised on 2026-10-05 by Unknown Sender.
