message_id,item_id,group_id,item_title,priority,confidence,score,group_status,group_latest_deadline,as_of,reason,signals
MSG_0046,TASK_0017,GROUP_021,Call the service centre,low,0.5664,-5.1,completed,2026-10-02,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0939 reports this complete.,status_completed status_contested chased_after_closure
MSG_0049,EVENT_0010,GROUP_022,Product demo,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-01 (MSG_0965) passed 4 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0051,EVENT_0011,GROUP_023,Doctor appointment,medium,0.7509,1.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-08 (MSG_0960) is 3 days away; this subject is a meeting or event.,deadline_within_3_days category_meeting_event
MSG_0054,EVENT_0012,GROUP_024,Review,low,0.5952,0.05,pending,,2026-10-05 01:24:00,"Assessed low: this subject is a meeting or event. the only statements made about this subject are hedged (""could be""), so no firm status can be asserted.",status_unclear no_deadline category_meeting_event
MSG_0055,EVENT_0013,GROUP_019,Client discussion,low,0.7509,0.95,rescheduled,,2026-10-05 01:24:00,Assessed low: the event of 2026-10-09 (MSG_0961) is 4 days away; this subject is a meeting or event.,deadline_within_7_days category_meeting_event
MSG_0056,TASK_0018,GROUP_025,Call Maya when you are free,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0057,TASK_0019,,I will send the login details separately,low,0.451,0.4,,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0058,TASK_0020,GROUP_002,Review the privacy checklist,critical,0.82,5.1,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0980) passed 5 day(s) before the most recent message; the subject has been chased 3 times; the most recent traffic about this subject is an unanswered question. MSG_0980 pushed the deadline from 2026-09-03 back to 2026-09-30.,deadline_overdue deadline_moved_later chased_repeatedly response_required category_action_required
MSG_0060,TASK_0021,GROUP_014,Complete the onboarding form,critical,0.82,5.5,pending,2026-09-06,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-06 (MSG_0624) passed 29 day(s) before the most recent message; the subject has been chased 6 times; the most recent traffic about this subject is an unanswered question.,deadline_overdue chased_repeatedly response_required category_action_required
MSG_0062,EVENT_0014,GROUP_026,AI workshop,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-30 (MSG_0964) passed 5 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0063,TASK_0022,GROUP_007,Renew the library book,critical,0.8892,8.5,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0986) passed 5 day(s) before the most recent message; at least one message about this subject uses explicit urgency wording; the subject has been chased 5 times.,deadline_overdue deadline_moved_earlier deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0065,TASK_0023,GROUP_011,Email the signed document,low,0.5712,-5.1,completed,2026-09-06,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0933 reports this complete.,status_completed status_contested chased_after_closure
MSG_0066,EVENT_0015,GROUP_027,Project review,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-29 (MSG_0963) passed 6 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0067,EVENT_0016,GROUP_026,AI workshop,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-30 (MSG_0964) passed 5 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0072,TASK_0024,GROUP_007,Renew the library book,critical,0.8892,8.5,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0986) passed 5 day(s) before the most recent message; at least one message about this subject uses explicit urgency wording; the subject has been chased 5 times.,deadline_overdue deadline_moved_earlier deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0077,EVENT_0017,GROUP_022,Product demo,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-01 (MSG_0965) passed 4 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0083,TASK_0025,GROUP_007,Renew the library book,critical,0.8892,8.5,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0986) passed 5 day(s) before the most recent message; at least one message about this subject uses explicit urgency wording; the subject has been chased 5 times.,deadline_overdue deadline_moved_earlier deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0088,TASK_0026,GROUP_028,Finish the test cases,low,0.5664,-5.1,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0931 reports this complete.,status_completed status_contested chased_after_closure
MSG_0089,TASK_0027,GROUP_021,Call the service centre,low,0.5664,-5.1,completed,2026-10-02,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0939 reports this complete.,status_completed status_contested chased_after_closure
MSG_0097,EVENT_0018,GROUP_029,Placement briefing,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0970) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0098,EVENT_0019,GROUP_030,Review,low,0.5952,0.05,pending,,2026-10-05 01:24:00,"Assessed low: this subject is a meeting or event. the only statements made about this subject are hedged (""could be""), so no firm status can be asserted.",status_unclear no_deadline category_meeting_event
MSG_0100,EVENT_0020,GROUP_031,Sprint planning,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-03 (MSG_0967) passed 2 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0101,TASK_0028,GROUP_011,Email the signed document,low,0.5712,-5.1,completed,2026-09-06,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0933 reports this complete.,status_completed status_contested chased_after_closure
MSG_0102,TASK_0029,GROUP_032,Send the revised presentation,low,0.5657,-5.1,cancelled,2026-09-29,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0934 cancels this.,status_cancelled status_contested chased_after_closure
MSG_0103,EVENT_0021,GROUP_033,Technical interview,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-04 (MSG_0968) passed 1 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0110,TASK_0030,GROUP_018,Review the file before the meeting,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0111,TASK_0031,GROUP_008,Review the model results,low,0.5659,-5.1,completed,2026-09-30,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0935 reports this complete.,status_completed status_contested chased_after_closure
MSG_0112,TASK_0032,GROUP_032,Send the revised presentation,low,0.5657,-5.1,cancelled,2026-09-29,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0934 cancels this.,status_cancelled status_contested chased_after_closure
MSG_0113,TASK_0033,GROUP_034,Prepare the demo video,low,0.5046,-5.7,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0937 reports this complete.,status_completed status_contested
MSG_0114,TASK_0034,GROUP_020,Complete the Python exercise,low,0.5046,-5.7,cancelled,2026-10-01,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0938 cancels this.,status_cancelled status_contested
MSG_0115,TASK_0035,GROUP_021,Call the service centre,low,0.5664,-5.1,completed,2026-10-02,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0939 reports this complete.,status_completed status_contested chased_after_closure
MSG_0119,TASK_0036,GROUP_035,Send the expense receipt,low,0.5046,-5.7,cancelled,2026-10-01,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0940 cancels this.,status_cancelled status_contested
MSG_0121,TASK_0037,GROUP_025,Call Maya when you are free,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0122,EVENT_0022,GROUP_003,Mentor catch-up,medium,0.7509,2.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-05 (MSG_0969) is the day of the most recent message; this subject is a meeting or event.,deadline_today category_meeting_event
MSG_0123,EVENT_0023,GROUP_029,Placement briefing,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0970) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0124,EVENT_0024,GROUP_003,Mentor catch-up,medium,0.7509,2.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-05 (MSG_0969) is the day of the most recent message; this subject is a meeting or event.,deadline_today category_meeting_event
MSG_0127,EVENT_0025,GROUP_023,Doctor appointment,medium,0.7509,1.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-08 (MSG_0960) is 3 days away; this subject is a meeting or event.,deadline_within_3_days category_meeting_event
MSG_0129,EVENT_0026,GROUP_009,Team stand-up,low,0.6817,-6.0,cancelled,,2026-10-05 01:24:00,Assessed low: DEMO_008 cancels this.,status_cancelled
MSG_0131,EVENT_0027,GROUP_027,Project review,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-29 (MSG_0963) passed 6 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0132,TASK_0038,GROUP_017,Demo was ready,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0133,EVENT_0028,,Meeting,low,0.451,0.25,,,2026-10-05 01:24:00,Assessed low: this subject is a meeting or event.,no_deadline category_meeting_event
MSG_0135,EVENT_0029,GROUP_003,Mentor catch-up,medium,0.7509,2.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-05 (MSG_0969) is the day of the most recent message; this subject is a meeting or event.,deadline_today category_meeting_event
MSG_0136,TASK_0039,GROUP_034,Prepare the demo video,low,0.5046,-5.7,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0937 reports this complete.,status_completed status_contested
MSG_0138,EVENT_0030,GROUP_022,Product demo,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-01 (MSG_0965) passed 4 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0139,TASK_0040,GROUP_012,Update the project tracker,low,0.5664,-5.1,cancelled,2026-10-06,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0942 cancels this.,status_cancelled status_contested chased_after_closure
MSG_0144,TASK_0041,GROUP_021,Call the service centre,low,0.5664,-5.1,completed,2026-10-02,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0939 reports this complete.,status_completed status_contested chased_after_closure
MSG_0145,TASK_0042,GROUP_020,Complete the Python exercise,low,0.5046,-5.7,cancelled,2026-10-01,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0938 cancels this.,status_cancelled status_contested
MSG_0147,TASK_0043,GROUP_034,Prepare the demo video,low,0.5046,-5.7,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0937 reports this complete.,status_completed status_contested
MSG_0148,TASK_0044,,I will send the login details separately,low,0.451,0.4,,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0150,TASK_0045,GROUP_021,Call the service centre,low,0.5664,-5.1,completed,2026-10-02,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0939 reports this complete.,status_completed status_contested chased_after_closure
MSG_0151,EVENT_0031,GROUP_027,Project review,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-29 (MSG_0963) passed 6 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0153,TASK_0046,GROUP_028,Finish the test cases,low,0.5664,-5.1,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0931 reports this complete.,status_completed status_contested chased_after_closure
MSG_0154,EVENT_0032,GROUP_029,Placement briefing,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0970) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0156,EVENT_0033,GROUP_029,Placement briefing,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0970) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0157,TASK_0047,GROUP_036,Verify the dataset labels,low,0.5046,-5.7,cancelled,2026-09-28,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0948 cancels this.,status_cancelled status_contested
MSG_0160,TASK_0048,GROUP_037,Submit the weekly report,low,0.4796,-5.7,completed,2026-09-28,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0949 reports this complete.,status_completed status_contested
MSG_0162,EVENT_0034,GROUP_015,Study-group session,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-04 (MSG_0956) passed 1 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0163,TASK_0049,GROUP_021,Call the service centre,low,0.5664,-5.1,completed,2026-10-02,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0939 reports this complete.,status_completed status_contested chased_after_closure
MSG_0168,EVENT_0035,GROUP_026,AI workshop,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-30 (MSG_0964) passed 5 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0169,EVENT_0036,GROUP_031,Sprint planning,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-03 (MSG_0967) passed 2 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0170,TASK_0050,GROUP_038,Share the meeting notes,critical,0.8892,5.9,pending,2026-09-27,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-27 (MSG_0971) passed 8 day(s) before the most recent message; at least one message about this subject uses explicit urgency wording; the most recent traffic about this subject is an unanswered question. MSG_0971 pushed the deadline from 2026-09-02 back to 2026-09-27.,deadline_overdue deadline_moved_later explicit_urgency chased_once response_required category_action_required
MSG_0171,TASK_0051,GROUP_010,Confirm the interview slot,critical,0.8299,9.3,pending,2026-10-02,2026-10-05 01:24:00,"Assessed critical: the deadline of 2026-10-02 (MSG_0976) passed 3 day(s) before the most recent message; DEMO_001 states the deadline as ""tomorrow at 10:00""; it was not resolved to a date, so the proximity is taken from the wording; at least one message about this subject uses explicit urgency wording. MSG_0976 pushed the deadline from 2026-09-28 back to 2026-10-02.",deadline_relative_imminent deadline_overdue deadline_moved_later deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0173,TASK_0052,GROUP_008,Review the model results,low,0.5659,-5.1,completed,2026-09-30,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0935 reports this complete.,status_completed status_contested chased_after_closure
MSG_0175,TASK_0053,GROUP_008,Review the model results,low,0.5659,-5.1,completed,2026-09-30,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0935 reports this complete.,status_completed status_contested chased_after_closure
MSG_0177,EVENT_0037,GROUP_031,Sprint planning,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-03 (MSG_0967) passed 2 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0178,TASK_0054,GROUP_007,Renew the library book,critical,0.8892,8.5,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0986) passed 5 day(s) before the most recent message; at least one message about this subject uses explicit urgency wording; the subject has been chased 5 times.,deadline_overdue deadline_moved_earlier deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0180,TASK_0055,GROUP_017,Demo was ready,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0184,EVENT_0038,GROUP_029,Placement briefing,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0970) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0190,TASK_0056,GROUP_018,Review the file before the meeting,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0193,TASK_0057,GROUP_025,Call Maya when you are free,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0195,TASK_0058,GROUP_010,Confirm the interview slot,critical,0.8299,9.3,pending,2026-10-02,2026-10-05 01:24:00,"Assessed critical: the deadline of 2026-10-02 (MSG_0976) passed 3 day(s) before the most recent message; DEMO_001 states the deadline as ""tomorrow at 10:00""; it was not resolved to a date, so the proximity is taken from the wording; at least one message about this subject uses explicit urgency wording. MSG_0976 pushed the deadline from 2026-09-28 back to 2026-10-02.",deadline_relative_imminent deadline_overdue deadline_moved_later deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0198,TASK_0059,GROUP_018,Review the file before the meeting,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0201,EVENT_0039,GROUP_029,Placement briefing,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0970) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0203,TASK_0060,GROUP_034,Prepare the demo video,low,0.5046,-5.7,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0937 reports this complete.,status_completed status_contested
MSG_0207,EVENT_0040,,Meeting,low,0.451,0.25,,,2026-10-05 01:24:00,Assessed low: this subject is a meeting or event.,no_deadline category_meeting_event
MSG_0208,TASK_0061,GROUP_037,Submit the weekly report,low,0.4796,-5.7,completed,2026-09-28,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0949 reports this complete.,status_completed status_contested
MSG_0209,EVENT_0041,GROUP_009,Team stand-up,low,0.6817,-6.0,cancelled,,2026-10-05 01:24:00,Assessed low: DEMO_008 cancels this.,status_cancelled
MSG_0210,TASK_0062,GROUP_028,Finish the test cases,low,0.5664,-5.1,completed,2026-09-27,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0931 reports this complete.,status_completed status_contested chased_after_closure
MSG_0213,EVENT_0042,GROUP_039,Review,low,0.5952,0.05,pending,,2026-10-05 01:24:00,"Assessed low: this subject is a meeting or event. the only statements made about this subject are hedged (""could be""), so no firm status can be asserted.",status_unclear no_deadline category_meeting_event
MSG_0215,TASK_0063,GROUP_002,Review the privacy checklist,critical,0.82,5.1,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0980) passed 5 day(s) before the most recent message; the subject has been chased 3 times; the most recent traffic about this subject is an unanswered question. MSG_0980 pushed the deadline from 2026-09-03 back to 2026-09-30.,deadline_overdue deadline_moved_later chased_repeatedly response_required category_action_required
MSG_0216,EVENT_0043,GROUP_027,Project review,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-09-29 (MSG_0963) passed 6 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
